id,chain,host,location,year,subtype,continent
ADV69078,A,swine,Minnesota,2009.0,H1N2,North America
ADV69079,A,swine,North Carolina,2009.0,H1N1,North America
ADV69090,A,swine,Minnesota,2009.0,H1N1,North America
ADV69091,A,swine,Indiana,2009.0,H1N2,North America
ADV69097,A,swine,Iowa,2010.0,H1N2,North America
ADV69106,A,swine,Minnesota,2010.0,H1N2,North America
ADW01407,A,,Jiangsu,2011.0,H1N1,Asia
ADW10721,A,,Boston,2009.0,H1N1,North America
ADW93789,A,swine,Costa Rica,2010.0,H1N1,North America
ADX31845,A,swine,England,2010.0,H1N2,Europe
ADX31858,A,swine,England,2010.0,H1N1,Europe
ADX96236,A,swine,Hubei,2009.0,H1N1,Asia
ADY70986,A,swine,Hong Kong,2001.0,H1N1,Asia
ADY71223,A,swine,Hong Kong,2003.0,H1N2,Asia
ADY71438,A,swine,Hong Kong,2006.0,H1N2,Asia
ADY71526,A,swine,Hong Kong,2007.0,H1N1,Asia
ADY71612,A,swine,Hong Kong,2008.0,H1N1,Asia
ADY71787,A,swine,Hong Kong,2009.0,H1N1,Asia
ADY72576,A,swine,Hong Kong,2005.0,H1N2,Asia
ADY80044,A,swine,Indiana,2010.0,H1N2,North America
ADZ05627,A,,LyonCHU,2003.0,,North America
ADZ05628,A,,Reunion,2004.0,,Africa
AEA29580,A,swine,SK,2009.0,H1N1,Europe
AEA29582,A,swine,MB,2009.0,H1N1,North America
AEA29595,A,swine,QC,2009.0,H1N1,North America
AEA48985,A,,Fuzhou,2010.0,H1N1,Asia
AEA50985,A,,Bangladesh,2011.0,H5N1,Asia
AEA73584,A,,Boston,2009.0,H1N1,North America
AEA92634,A,,South Dakota,2008.0,H1N1,North America
AEB80459,A,swine,Thailand,2010.0,H1N1,Asia
AEF28999,A,swine,OH,2011.0,H1N1,North America
AEF33066,A,swine,Illinois,2010.0,H1N2,North America
AEF33067,A,swine,North Carolina,2010.0,H1N1,North America
AEG64762,A,,United Kingdom,1933.0,H1N1,Europe
AEH42785,A,swine,Hubei,2009.0,H1N2,Asia
AEH59624,A,,Nanchang,2009.0,H1N1,Asia
AEI30055,A,swine,Korea,2008.0,H1N1,Asia
AEI30056,A,swine,Korea,2009.0,H1N1,Asia
AEI30057,A,swine,Korea,2009.0,H1N2,Asia
AEJ10440,A,,Sydney,2010.0,H1N1,Oceania
AEJ82788,A,,Taiwan,2011.0,H1N1,Asia
AEJ82792,A,,Taiwan,2011.0,H1N1,Asia
AEJ82796,A,,Taiwan,2011.0,H1N1,Asia
AEK49444,A,avian,California,2008.0,H3N8,North America
