id,chain,host,location,year,subtype
ACS78026,A,,New York,2009,H1N1
ACT15320,A,,Egypt,2009,H5N1
ACT15355,A,,Egypt,2009,H5N1
ACT20893,A,avian,Tyva,2009,H5N1
ACT21466,A,,New York,1998,H3N2
ACT33159,A,swine,Alberta,2009,H1N1
ACT67801,A,,New Hampshire,2009,H3N2
ACT97067,A,swine,Tianjin,2004,H1N2
ACU12494,A,,Siena,1991,H3N2
ACU13094,A,,Texas,2009,H1N1
ACU43765,A,,Texas,2008,H1N1
ACU44038,A,,Kentucky,2009,H1N1
ACU44361,A,,Arizona,2009,H1N1
ACU44395,A,,Wisconsin,2009,H1N1
ACU44406,A,,Minnesota,2009,H1N1
ACU46644,A,,Thailand,2006,H5N1
ACU46717,A,swine,Guangdong,2002,H3N2
ACU80014,A,,New Jersey,1976,H1N1
ACU82395,A,swine,Sweden,2009,H1N2
ACV42073,A,swine,Oklahoma,2009,H3N2
ACV42106,A,swine,Oklahoma,2007,H3N2
ACV49556,A,,Melbourne,1946,H1N1
ACV49600,A,,Japan,1957,H2N2
ACV70734,A,,Wisconsin,2009,H1N1
ACV90543,A,avian,New York,2007,H5N2
ACV90903,A,avian,Montana,2006,H5N2
ACV91043,A,avian,Minnesota,2006,H5N2
ACX31973,A,avian,Egypt,2009,H5N1
ACX31981,A,avian,Egypt,2009,H5N1
ACX31993,A,avian,Egypt,2009,H5N1
ACX36501,A,,Singapore,2009,H1N1
ACX48061,A,swine,Bavaria,2007,H5N1
ACY06456,A,swine,Fujian,2007,H3N2
ACY06458,A,swine,Shandong,2007,H3N2
ACY06459,A,swine,Guangdong,2006,H3N2
ACY06623,A,swine,Hubei,2009,H1N1
ACY25797,A,avian,Iran,2007,H9N2
ACY25801,A,avian,Iran,2007,H9N2
ACY25803,A,avian,Iran,2007,H9N2
ACY67022,A,swine,Iowa,2003,H3N2
ACY80644,A,avian,NV,2006,H5N2
ACZ05568,A,,New York,2009,H1N1
ACZ16520,A,,Wisconsin,2009,H1N1
ACZ48510,A,avian,Viet Nam,2001,H5N1
ACZ48594,A,avian,Pakistan,2004,H7N3
ACZ48608,A,avian,Italy,1999,H7N1
ACZ53956,A,swine,Jilin,2007,H3N2
ACZ53978,A,swine,Jilin,2008,H3N2
ACZ58384,A,avian,Crimea,2008,H7N8
ACZ61118,A,,Parana,2009,H1N1
ACZ81556,A,,Thailand,2009,H1N1
ACZ96889,A,,Brownsville,2009,H1N1
ADA83043,A,,Novgorod,2009,H1N1
ADB81439,A,,Russia,2009,H1N1
ADB82656,A,swine,Thailand,2009,H1N2
ADB89281,A,,California,2009,H1N1
ADC29463,A,avian,Korea,2004,H5N2
ADC45659,A,,Hokkaido,2007,H1N1
ADC45670,A,,Hyogo,2007,H1N1
ADC45813,A,,Kyoto,2009,H1N1
ADC97015,A,avian,Shandong,2008,H5N1
ADD10558,A,avian,Eastern China,2008,H5N1
ADD21428,A,swine,Indonesia,2004,H3N1
ADD21467,A,swine,Fujian,2008,H1N1
ADD21560,A,,Kansas,2009,H3N2
ADD23162,A,,San Diego,2009,H1N1
ADD96936,A,,San Diego,2009,H1N1
ADE75148,A,avian,Sweden,2002,H1N2
