p_id,sero
ADF83650,H5N1
AGT18720,H1N1
CY014497,H5N1
AGN28824,H1N2
AFV53293,H2N2
ADX96236,H1N1
ACZ48608,H7N1
AGN69593,H1N2
CCD31011,H1N1
ABG37230,H3N2
ACB11812,H1N1
ACB11782,H1N1
AEK85773,H9N2
ABB20141,H2N1
ACF93484,H9N2
AHB22699,H3N2
AGU92777,H1N1
ADM85857,H5N1
ADY80044,H1N2
AHB21448,H1N1
AET77666,H7N3
AAF87284,H1N1
ADI46320,H5N1
ADT64317,H1N1
DQ095621,H5N1
AHD25415,H1N1
ACZ53978,H3N2
AAA92280,H1N1
AFR75967,H1N1
AEO01709,H1N1
AFR76783,H1N2
ADG59049,H5N1
ABO52247,H2N2
AGN49381,H1N2
AHB73644,H1N1
AFM46518,H1N1
AHN96650,H9N2
AHB21075,H1N2
ABD15258,H1N1
AHZ42377,H7N7
BAG49742,H1N1
AAP60037,H1N1
AEA73584,H1N1
AFU09062,H1N2
ACU46644,H5N1
AGM16031,H1N2
AHB21712,H1N1
ACF25679,H5N2
ADV69091,H1N2
AHA57131,H1N2
CY062608,H5N1
CY052045,H1N1
AFR76498,H1N2
AEP17073,H1N2
ADP05197,H9N2
AFG99402,H3N2
AHA98464,H3N2
AEJ82796,H1N1
ACU44038,H1N1
ADT79030,H3N2
AGI41230,H9N2
AAC54378,H5N3
ADV69078,H1N2
AAU25861,H3N3
AFG72823,H3N2
ACO07038,H5N1
AGL52805,H7N3
ABB82216,H1N1
CY067625,H1N1
AGS48846,H1N1
ABO52280,H1N1
CY070723,H1N1
ACI26593,H3N2
BAN42578,H5N1
AFU08988,H3N2
AHB22567,H3N2
AFZ15893,H1N2
AET11800,H1N1
AIC73834,H1N1
AFR75854,H1N2
AHB51244,H3N2
BAM78376,H1N2
ADT79161,H3N2
AGL58994,H10N7
AGW43288,H3N6
ADO34927,H1N1
ADL64047,H9N2
AGS08785,H3N2
AGA19235,H1N1
ACF25543,H3N2
ABQ97202,H3N2
BAD89325,H5N1
ABD85122,H3N1
ABA08508,H1N2
ABK34764,H5N1
CCH23221,H9N2
BAN14747,H3N2
AEM75239,H1N1
AFR75914,H1N2
AFU09985,H1N2
AIB06082,H1N2
AAX57924,H3N2
ADT78936,H1N1
BAH02110,H3N2
BAO10666,H9N2
AAY46201,H3N2
AHZ39463,H2N5
AHB59452,H1N2
AFO64802,H1N1
AHY20931,H1N1
AFP99689,H3N2
AET74962,H9N9
ABQ01355,H2N2
ABR37440,H7N4
AEF33067,H1N1
CY075915,H1N1
AFU92387,H1N1
ADM23846,H1N1
BAG49619,H1N2
AFM46519,H1N2
ABA43336,H3N2
AFM46517,H1N1
AFQ34707,H3N2
CAA78263,H7N7
ACA50030,H9N2
ADP69273,H9N2
CAP45718,H5N1
ACY06459,H3N2
AY818135,H5N1
ACO95270,H3N2
ADJ80234,H1N2
